2024-11-02 20:46:58 - Luz - Amostra 0 -> 600
2024-11-02 20:47:00 - Luz - Amostra 1 -> 304
2024-11-02 20:47:02 - Luz - Amostra 2 -> 839
2024-11-02 20:47:04 - Luz - Amostra 3 -> 375
2024-11-02 20:47:06 - Luz - Amostra 4 -> 871
2024-11-02 20:47:08 - Luz - Amostra 5 -> 324
2024-11-02 20:47:10 - Luz - Amostra 6 -> 569
2024-11-02 20:47:12 - Luz - Amostra 7 -> 654
2024-11-02 20:47:14 - Luz - Amostra 8 -> 559
2024-11-02 20:47:16 - Luz - Amostra 9 -> 470
2024-11-02 20:47:18 - Luz - Amostra 10 -> 874
2024-11-02 20:47:20 - Luz - Amostra 11 -> 292
2024-11-02 20:47:22 - Luz - Amostra 12 -> 117
2024-11-02 20:47:24 - Luz - Amostra 13 -> 521
2024-11-02 20:47:26 - Luz - Amostra 14 -> 874
2024-11-02 20:47:28 - Luz - Amostra 15 -> 675
2024-11-02 20:47:30 - Luz - Amostra 16 -> 956
2024-11-02 20:47:32 - Luz - Amostra 17 -> 658
2024-11-02 20:47:34 - Luz - Amostra 18 -> 965
2024-11-02 20:47:36 - Luz - Amostra 19 -> 675
2024-11-03 11:06:39 - senor luz - Amostra 0 -> 170
2024-11-03 11:06:41 - senor luz - Amostra 1 -> 440
2024-11-03 11:06:43 - senor luz - Amostra 2 -> 64
2024-11-03 11:06:45 - senor luz - Amostra 3 -> 580
2024-11-03 11:06:47 - senor luz - Amostra 4 -> 164
2024-11-03 11:06:49 - senor luz - Amostra 5 -> 855
2024-11-03 11:06:51 - senor luz - Amostra 6 -> 382
2024-11-03 11:06:53 - senor luz - Amostra 7 -> 293
2024-11-03 11:06:55 - senor luz - Amostra 8 -> 962
2024-11-03 11:06:57 - senor luz - Amostra 9 -> 202
2024-11-03 11:06:59 - senor luz - Amostra 10 -> 166
2024-11-03 11:07:01 - senor luz - Amostra 11 -> 479
2024-11-03 11:07:03 - senor luz - Amostra 12 -> 622
2024-11-03 11:07:05 - senor luz - Amostra 13 -> 694
2024-11-03 11:07:07 - senor luz - Amostra 14 -> 245
2024-11-03 11:07:09 - senor luz - Amostra 15 -> 345
2024-11-03 11:07:11 - senor luz - Amostra 16 -> 278
2024-11-03 11:07:13 - senor luz - Amostra 17 -> 4
2024-11-03 11:07:15 - senor luz - Amostra 18 -> 404
